grade_map,k_ratio,direction,varied_grade,fixed_category,p_any_analytical,p_any_simulated,a_probability_analytical,a_probability_simulated,b_probability_analytical,b_probability_simulated,fixed_probability_baseline,fixed_probability_pct_change
Compressed,1.0,vary_B,HIGH,A,0.3939393939393939,0.394315,0.30303030303030304,0.303124,0.09090909090909091,0.091191,0.30303030303030304,0.0
Compressed,1.0,vary_B,VERY_HIGH,A,0.4117647058823529,0.412096,0.29411764705882354,0.2947,0.1176470588235294,0.117396,0.30303030303030304,-2.941176470588236
Compressed,2.0,vary_A,NONE,B,0.06976744186046512,0.069799,0.0,0.0,0.06976744186046512,0.069799,0.05660377358490566,23.25581395348837
Compressed,2.0,vary_A,LOW,B,0.1836734693877551,0.183296,0.12244897959183675,0.12225,0.06122448979591837,0.061046,0.05660377358490566,8.163265306122458
Compressed,2.0,vary_A,NORMAL,B,0.24528301886792453,0.245275,0.18867924528301888,0.188344,0.05660377358490566,0.056931,0.05660377358490566,0.0
Compressed,2.0,vary_A,HIGH,B,0.3103448275862069,0.310005,0.25862068965517243,0.258252,0.05172413793103448,0.051753,0.05660377358490566,-8.62068965517242
Compressed,2.0,vary_A,VERY_HIGH,B,0.36507936507936506,0.364784,0.31746031746031744,0.317522,0.047619047619047616,0.047262,0.05660377358490566,-15.873015873015884
Compressed,2.0,vary_B,NONE,A,0.2,0.199925,0.2,0.199925,0.0,0.0,0.18867924528301888,6.000000000000005
Compressed,2.0,vary_B,LOW,A,0.21875,0.218653,0.1953125,0.195212,0.0234375,0.023441,0.18867924528301888,3.515625
Compressed,2.0,vary_B,NORMAL,A,0.23076923076923078,0.231004,0.19230769230769232,0.192725,0.038461538461538464,0.038279,0.18867924528301888,1.9230769230769162
Compressed,2.0,vary_B,HIGH,A,0.24528301886792453,0.245036,0.18867924528301888,0.188418,0.05660377358490566,0.056618,0.18867924528301888,0.0
Compressed,2.0,vary_B,VERY_HIGH,A,0.25925925925925924,0.258247,0.18518518518518517,0.184589,0.07407407407407407,0.073658,0.18867924528301888,-1.85185185185186
Compressed,4.0,vary_A,NONE,B,0.03614457831325301,0.036003,0.0,0.0,0.03614457831325301,0.036003,0.03225806451612903,12.04819277108433
Compressed,4.0,vary_A,LOW,B,0.10112359550561797,0.101079,0.06741573033707865,0.067392,0.033707865168539325,0.033687,0.03225806451612903,4.494382022471921
Compressed,4.0,vary_A,NORMAL,B,0.13978494623655913,0.139617,0.10752688172043011,0.1072,0.03225806451612903,0.032417,0.03225806451612903,0.0
Compressed,4.0,vary_A,HIGH,B,0.1836734693877551,0.183286,0.15306122448979592,0.152861,0.030612244897959186,0.030425,0.03225806451612903,-5.1020408163265145
Compressed,4.0,vary_A,VERY_HIGH,B,0.22330097087378642,0.223635,0.19417475728155342,0.194402,0.02912621359223301,0.029233,0.03225806451612903,-9.708737864077666
Compressed,4.0,vary_B,NONE,A,0.1111111111111111,0.111314,0.11111111111111112,0.111314,0.0,0.0,0.10752688172043011,3.3333333333333437
Compressed,4.0,vary_B,LOW,A,0.12280701754385964,0.122876,0.10964912280701754,0.109782,0.013157894736842103,0.013094,0.10752688172043011,1.9736842105263053
Compressed,4.0,vary_B,NORMAL,A,0.13043478260869565,0.129977,0.10869565217391304,0.108187,0.021739130434782608,0.02179,0.10752688172043011,1.0869565217391353
Compressed,4.0,vary_B,HIGH,A,0.13978494623655913,0.139547,0.10752688172043011,0.107547,0.03225806451612903,0.032,0.10752688172043011,0.0
Compressed,4.0,vary_B,VERY_HIGH,A,0.14893617021276595,0.148517,0.10638297872340426,0.10639,0.0425531914893617,0.042127,0.10752688172043011,-1.0638297872340385
Compressed,8.0,vary_A,NONE,B,0.018404907975460124,0.018508,0.0,0.0,0.018404907975460124,0.018508,0.017341040462427747,6.134969325153361
Compressed,8.0,vary_A,LOW,B,0.05325443786982249,0.053321,0.03550295857988166,0.035441,0.01775147928994083,0.01788,0.017341040462427747,2.3668639053254337
Compressed,8.0,vary_A,NORMAL,B,0.07514450867052024,0.074756,0.05780346820809249,0.057737,0.017341040462427747,0.017019,0.017341040462427747,0.0
Compressed,8.0,vary_A,HIGH,B,0.10112359550561797,0.100934,0.08426966292134831,0.084323,0.016853932584269662,0.016611,0.017341040462427747,-2.808988764044962
Compressed,8.0,vary_A,VERY_HIGH,B,0.12568306010928962,0.126014,0.1092896174863388,0.109669,0.01639344262295082,0.016345,0.017341040462427747,-5.464480874316946
Compressed,8.0,vary_B,NONE,A,0.058823529411764705,0.058922,0.058823529411764705,0.058922,0.0,0.0,0.05780346820809249,1.764705882352935
Compressed,8.0,vary_B,LOW,A,0.06542056074766354,0.065339,0.05841121495327103,0.058323,0.007009345794392523,0.007016,0.05780346820809249,1.0514018691588634
Compressed,8.0,vary_B,NORMAL,A,0.06976744186046512,0.069511,0.05813953488372093,0.058013,0.011627906976744186,0.011498,0.05780346820809249,0.5813953488371881
Compressed,8.0,vary_B,HIGH,A,0.07514450867052024,0.074886,0.05780346820809249,0.057784,0.017341040462427747,0.017102,0.05780346820809249,0.0
